Range from: [2021-07-08 10:00:00] To: [2021-07-08 11:00:00]
Host Name: [All                                                                ]
Real Ifname: [All       ] Protocol/Version: [TCP    ]/[4]
================================================================================

Time Stamp          Source:Port           Destination:Port            R D
------------------- --------------------- --------------------------- - ---
2021-07-08 10:10:00 10.5.16.100:49358      157.240.222.60:443          P in
2021-07-08 10:10:00 10.5.16.100:49357      157.240.222.60:443          P in
2021-07-08 10:10:08 10.5.16.100:55696      186.192.90.3:443            P in
2021-07-08 10:10:08 10.5.16.100:55466      186.192.90.3:443            P in
2021-07-08 10:10:08 10.5.16.100:55643      186.192.81.62:443           P in
2021-07-08 10:10:08 10.5.16.100:49803      186.192.81.62:443           P in
2021-07-08 10:10:08 10.5.16.100:49294      186.192.90.3:443            P in
2021-07-08 10:10:08 10.5.16.100:53747      186.192.90.3:443            P in
2021-07-08 10:10:08 10.5.16.100:51213      142.250.218.66:443          P in
2021-07-08 10:10:08 10.5.16.100:50092      201.7.182.162:443           P in
2021-07-08 10:10:08 10.5.16.100:64771      142.250.218.66:443          P in
2021-07-08 10:10:09 10.5.16.100:55644      191.232.238.194:443         P in
2021-07-08 10:10:14 10.5.16.100:49434      186.192.91.5:443            P in
2021-07-08 10:10:15 10.5.16.100:58968      186.192.91.9:443            P in
2021-07-08 10:10:18 10.5.16.100:53720      131.0.25.199:443            P in
2021-07-08 10:10:18 10.5.16.100:62820      104.104.134.101:443         P in
2021-07-08 10:10:18 10.5.16.100:61333      172.217.162.111:443         P in
2021-07-08 10:10:18 10.5.16.100:64097      104.16.12.243:443           P in
2021-07-08 10:10:18 10.5.16.100:50632      35.201.123.184:443          P in
2021-07-08 10:10:18 10.5.16.100:59439      131.0.25.199:443            P in
2021-07-08 10:10:18 10.5.16.100:52310      104.16.12.243:443           P in
2021-07-08 10:10:18 10.5.16.100:65279      35.201.123.184:443          P in
2021-07-08 10:10:18 10.5.16.100:55445      104.104.134.101:443         P in
2021-07-08 10:10:18 10.5.16.100:56993      131.0.25.199:443            P in
2021-07-08 10:10:18 10.5.16.100:64511      172.217.162.111:443         P in
2021-07-08 10:10:18 10.5.16.100:57357      131.0.25.90:443             P in
2021-07-08 10:10:18 10.5.16.100:61643      201.7.182.142:443           P in
2021-07-08 10:10:18 10.5.16.100:60817      131.0.25.90:443             P in
2021-07-08 10:10:18 10.5.16.100:52173      201.7.182.142:443           P in
2021-07-08 10:10:18 10.5.16.100:64022      104.16.12.243:443           P in
2021-07-08 10:10:20 10.5.16.100:51179      186.192.81.117:443          P in
2021-07-08 10:10:20 10.5.16.100:61960      151.101.2.133:443           P in
2021-07-08 10:10:20 10.5.16.100:57422      151.101.2.133:443           P in
2021-07-08 10:10:20 10.5.16.100:50109      186.192.81.117:443          P in
2021-07-08 10:10:23 10.5.16.100:57776      131.0.25.68:443             P in
2021-07-08 10:10:24 10.5.16.100:50134      131.0.25.68:443             P in
2021-07-08 10:10:24 10.5.16.100:60647      172.217.30.161:443          P in
2021-07-08 10:10:24 10.5.16.100:53701      172.217.30.161:443          P in
2021-07-08 10:10:28 10.5.16.100:49755      172.217.162.111:443         P in
2021-07-08 10:10:28 10.5.16.100:63247      142.250.218.162:443         P in
2021-07-08 10:10:28 10.5.16.100:50251      172.217.162.111:443         P in
2021-07-08 10:10:28 10.5.16.100:60657      151.101.65.229:443          P in
2021-07-08 10:10:28 10.5.16.100:50421      151.101.65.229:443          P in
2021-07-08 10:10:28 10.5.16.100:62656      172.217.162.111:443         P in
2021-07-08 10:10:28 10.5.16.100:62240      142.250.218.162:443         P in
2021-07-08 10:10:29 10.5.16.100:62285      13.33.122.75:443            P in
