PFLogentry

Range from: [2021-10-22 05:00:00] To: [2021-10-22 09:00:00]
Host Name: [All                                                                ]
Real Ifname: [re0       ] Protocol/Version: [TCP    ]/[4]
================================================================================

Time Stamp          Source:Port           Destination:Port            R D
------------------- --------------------- --------------------------- - ---
2021-10-22 05:29:59 172.5.22.10:1913    44.236.137.67:443           P out
2021-10-22 05:30:00 172.5.22.10:14219   44.236.137.67:443           P out
2021-10-22 05:30:03 172.5.22.10:51100   52.11.99.78:443             P out
2021-10-22 05:30:03 172.5.22.10:9314    52.11.99.78:443             P out
2021-10-22 05:30:04 172.5.22.10:36794   44.236.137.67:443           P out
2021-10-22 05:30:04 172.5.22.10:27985   44.236.137.67:443           P out
2021-10-22 05:30:05 172.5.22.10:52835   52.11.99.78:443             P out
2021-10-22 05:30:06 172.5.22.10:21208   52.11.99.78:443             P out
2021-10-22 05:30:06 172.5.22.10:40753   44.236.137.67:443           P out
2021-10-22 05:30:07 172.5.22.10:65429   44.236.137.67:443           P out
2021-10-22 05:30:07 172.5.22.10:2832    104.208.16.0:443            P out
2021-10-22 05:30:07 172.5.22.10:51823   52.11.99.78:443             P out
2021-10-22 05:30:08 172.5.22.10:17079   52.11.99.78:443             P out
2021-10-22 05:30:08 172.5.22.10:11818   44.236.137.67:443           P out
2021-10-22 05:30:09 172.5.22.10:36228   44.236.137.67:443           P out
2021-10-22 05:30:10 172.5.22.10:63250   52.11.99.78:443             P out
2021-10-22 05:30:10 172.5.22.10:33182   52.11.99.78:443             P out
2021-10-22 05:33:28 172.5.22.10:19738   52.42.203.157:443           P out
2021-10-22 05:33:28 172.5.22.10:60962   52.42.203.157:443           P out
2021-10-22 05:33:28 172.5.22.10:23650   52.42.203.157:443           P out
2021-10-22 05:33:29 172.5.22.10:28484   52.42.203.157:443           P out
2021-10-22 05:33:32 172.5.22.10:28421   44.241.171.64:443           P out
2021-10-22 05:33:36 172.5.22.10:56061   52.24.30.174:443            P out
2021-10-22 05:33:36 172.5.22.10:32893   52.24.30.174:443            P out
2021-10-22 05:33:36 172.5.22.10:2067    44.241.171.64:443           P out
2021-10-22 05:33:37 172.5.22.10:61679   52.24.30.174:443            P out
2021-10-22 05:33:38 172.5.22.10:16229   52.24.30.174:443            P out
2021-10-22 05:33:38 172.5.22.10:7076    52.24.30.174:443            P out
2021-10-22 05:33:39 172.5.22.10:57425   52.24.30.174:443            P out
2021-10-22 05:33:39 172.5.22.10:36393   44.241.171.64:443           P out
2021-10-22 05:33:40 172.5.22.10:25794   52.24.30.174:443            P out
2021-10-22 05:33:40 172.5.22.10:48601   52.24.30.174:443            P out
2021-10-22 05:33:41 172.5.22.10:16877   44.241.171.64:443           P out
2021-10-22 05:33:42 172.5.22.10:59352   52.24.30.174:443            P out
2021-10-22 05:33:42 172.5.22.10:15211   52.24.30.174:443            P out
2021-10-22 05:33:45 172.5.22.10:7214    54.200.123.82:443           P out
2021-10-22 05:33:45 172.5.22.10:57878   54.200.123.82:443           P out
2021-10-22 05:33:46 172.5.22.10:41288   52.24.30.174:443            P out
2021-10-22 05:33:46 172.5.22.10:63101   52.24.30.174:443            P out
2021-10-22 05:33:47 172.5.22.10:4746    44.241.171.64:443           P out
2021-10-22 05:33:48 172.5.22.10:32358   52.24.30.174:443            P out
